Date,Retailer Chain,Country,Product Unit,ProductFamilyName,Spec,SellThruUnits,Retail Price (LC),ERP (LC),Promotion (%)
1/15/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,361,600,599,0.002
1/22/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,906,600,599,0.002
1/29/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1354,600,599,0.002
2/5/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1712,600,599,0.002
2/12/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1545,600,599,0.002
2/19/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2111,600,599,0.002
2/26/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1191,600,599,0.002
4/24/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,0,600,599,0.002
5/1/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,78,600,599,0.002
5/8/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,4205,600,599,0.002
5/15/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2538,600,599,0.002
5/22/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1894,600,599,0.002
5/29/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2169,600,599,0.002
6/5/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2332,600,599,0.002
6/12/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2061,600,599,0.002
6/19/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1885,600,599,0.002
6/26/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1627,600,599,0.002
7/3/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1573,600,599,0.002
7/10/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1469,600,599,0.002
7/17/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1388,600,599,0.002
7/24/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1716,600,599,0.002
7/31/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2239,600,599,0.002
8/7/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2030,600,599,0.002
8/14/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1959,600,599,0.002
8/21/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1744,600,599,0.002
8/28/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2941,600,599,0.002
9/4/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1223,600,599,0.002
9/11/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1058,600,599,0.002
9/18/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,796,600,599,0.002
9/25/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,784,600,599,0.002
10/2/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,978,600,599,0.002
10/9/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,830,600,599,0.002
10/16/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,867,600,599,0.002
10/23/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,762,600,599,0.002
10/30/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,673,600,599,0.002
11/6/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,657,600,599,0.002
11/13/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,622,600,599,0.002
11/20/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,575,600,599,0.002
11/27/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,4093,500,599,-0.165
12/4/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2966,500,599,-0.165
12/11/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,761,600,599,0.002
12/18/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,1059,600,599,0.002
12/25/2015,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,2187,600,599,0.002
1/1/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,904,600,599,0.002
1/8/2016,Best Buy,United States,Surface 3 128GB 4GB,Surface 3 128GB,Atom/128/4/LTE,182,600,599,0.002
1/15/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1708,130,129.99,0.000
1/22/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1637,117,129.99,-0.100
1/29/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1776,117,129.99,-0.100
2/5/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,3165,100,129.99,-0.231
2/12/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,3210,90,129.99,-0.308
2/19/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,3355,90,129.99,-0.308
2/26/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2660,90,129.99,-0.308
3/4/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2648,90,129.99,-0.308
3/11/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2371,101,129.99,-0.223
3/18/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2676,90,129.99,-0.308
3/25/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2189,90,129.99,-0.308
4/1/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2142,101,129.99,-0.223
4/8/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1769,101,129.99,-0.223
4/15/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1696,101,129.99,-0.223
4/22/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1345,101,129.99,-0.223
4/29/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1374,101,129.99,-0.223
5/6/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1872,101,129.99,-0.223
9/12/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
9/19/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
9/26/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
10/3/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
10/10/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
10/17/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
10/24/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
10/31/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
11/7/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
11/14/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
11/21/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
11/28/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
12/5/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
12/12/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
12/19/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
12/26/2014,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
1/2/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
1/9/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,129.99,129.99,0.000
1/16/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
1/23/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
1/30/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
2/6/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
2/13/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
2/20/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
2/27/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
3/6/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
3/20/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
3/27/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
4/3/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
4/10/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
4/17/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
4/24/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,0,130,129.99,0.000
5/1/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,206,130,129.99,0.000
5/8/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,7359,130,129.99,0.000
5/15/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,5259,130,129.99,0.000
5/22/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,4732,130,129.99,0.000
5/29/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,4671,130,129.99,0.000
6/5/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,4702,130,129.99,0.000
6/12/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,4431,130,129.99,0.000
6/19/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,4367,130,129.99,0.000
8/14/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,4172,130,129.99,0.000
6/26/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,3604,130,129.99,0.000
7/3/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,3428,130,129.99,0.000
7/10/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,3164,130,129.99,0.000
9/11/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2956,130,129.99,0.000
7/17/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2971,130,129.99,0.000
7/24/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,3378,130,129.99,0.000
7/31/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,4103,130,129.99,0.000
8/7/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,4155,130,129.99,0.000
8/21/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,4059,130,129.99,0.000
8/28/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,4070,130,129.99,0.000
9/4/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,3176,130,129.99,0.000
9/18/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2457,119,129.99,-0.085
9/25/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2173,119,129.99,-0.085
10/2/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2213,101,129.99,-0.223
10/9/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2011,101,129.99,-0.223
10/16/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2094,101,129.99,-0.223
10/23/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1921,115,129.99,-0.115
10/30/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1604,130,129.99,0.000
11/6/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1607,130,129.99,0.000
11/13/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1428,130,129.99,0.000
11/20/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1449,130,129.99,0.000
11/27/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,6352,130,129.99,0.000
12/4/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,5213,130,129.99,0.000
12/11/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,2894,130,129.99,0.000
12/18/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,4183,130,129.99,0.000
12/25/2015,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,8121,130,129.99,0.000
1/1/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,3075,130,129.99,0.000
1/8/2016,Best Buy,United States,Surface Pro 3 Type Cover,Surface 3 Type Cover,n/a,1279,130,129.99,0.000
